bootstrap_index,accuracy,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion,metallic_to_target_intrusion
182,0.009086188992731059,0.008913132885164043,-0.01726427622841964,0.01726427622841964,-0.025118805159538363,-0.024621212121212124
183,0.01323987538940811,0.01438869509342855,-0.07968127490039838,0.07968127490039838,-0.010183299389002037,-0.03598484848484849
184,0.009345794392523366,0.008842575118060228,-0.03851261620185923,0.03851261620185923,-0.01900882552613713,-0.0037878787878787845
185,0.03920041536863964,0.03755645239635297,-0.038512616201859196,0.038512616201859196,-0.033944331296673465,-0.05113636363636364
186,0.008307372793354065,0.010544046052242831,-0.046480743691899064,0.046480743691899064,-0.02104548540393754,-0.013257575757575768
187,0.017912772585669774,0.018721917303080298,-0.09296148738379813,0.09296148738379813,-0.038696537678207736,-0.043560606060606064
188,0.008566978193146446,0.006172386992679302,-0.08100929614873838,0.08100929614873838,-0.019687712152070606,-0.013257575757575751
189,0.017653167185877467,0.02067306755027931,-0.06905710491367856,0.06905710491367856,-0.027155465037338764,-0.028409090909090908
190,0.010384215991692591,0.013246492053196982,0.005312084993359889,-0.005312084993359889,-0.00950441276306857,-0.02840909090909091
191,0.008826583592938789,0.009897941835263565,-0.05179282868525895,0.05179282868525895,-0.01289884589273591,-0.03787878787878788
192,0.013499480789200454,0.015002676187673628,-0.03452855245683931,0.03452855245683931,-0.020366598778004077,-0.022727272727272735
193,0.010643821391484934,0.012235593320283455,-0.03187250996015937,0.03187250996015937,-0.002036659877800407,-0.015151515151515152
194,0.011941848390446541,0.012392604281496097,-0.04116865869853914,0.04116865869853914,-0.013577732518669386,-0.024621212121212124
195,0.005192107995846314,0.00895066359089162,-0.033200531208499307,0.033200531208499307,0.0006788866259334706,-0.020833333333333332
196,-0.01272066458982346,-0.009343595903537024,-0.02921646746347939,0.02921646746347939,0.011541072640868977,-0.018939393939393936
197,0.0018172377985462191,0.00292533347242104,-0.02257636122177953,0.02257636122177953,0.015614392396469792,-0.011363636363636354
198,-0.0044132917964693945,-0.005933582679725251,-0.09163346613545813,0.09163346613545813,-0.021724372029871014,-0.02651515151515151
199,0.00856697819314641,0.009141443052557966,-0.038512616201859196,0.038512616201859196,-0.020366598778004074,-0.0018939393939393923
200,0.018431983385254386,0.020038892545304,-0.09694555112881802,0.09694555112881802,-0.03530210454854039,-0.03598484848484848
201,0.009605399792315672,0.01037522440837039,-0.06241699867197877,0.06241699867197877,-0.021045485403937542,-0.035984848484848495
202,0.030633437175493272,0.025319684332812953,-0.06772908366533863,0.06772908366533863,-0.04209097080787508,-0.032196969696969696
203,0.021547248182762175,0.01853666284625784,-0.0849933598937583,0.0849933598937583,-0.02919212491513917,-0.026515151515151516
204,0.0012980269989615694,0.004146514555931328,-0.05179282868525895,0.05179282868525895,-0.011541072640868974,-0.022727272727272724
205,0.0059709241952232706,0.011345454957112366,-0.06241699867197873,0.06241699867197873,-0.01900882552613713,-0.034090909090909095
206,0.009605399792315672,0.008961916061421086,-0.05577689243027887,0.05577689243027887,-0.015614392396469784,-0.030303030303030293
207,-0.008826583592938753,-0.010161251502415536,-0.010624169986719778,0.010624169986719778,0.004752206381534285,-0.0037878787878787893
208,0.0015576323987538758,0.004135363773224765,-0.05179282868525892,0.05179282868525892,0.002036659877800412,-0.03787878787878788
209,0.03348909657320872,0.03176613633468017,-0.05577689243027891,0.05577689243027891,-0.04344874405974202,-0.03977272727272727
210,0.0046728971962616645,0.0047652888287048984,-0.07038512616201857,0.07038512616201857,-0.010862186014935498,-0.028409090909090915
211,-0.004672897196261701,0.0002723691770318097,-0.03718459495351922,0.03718459495351922,0.0054310930074677605,-0.02272727272727273
212,0.0010384215991692258,0.002401951585581948,0.0013280212483399723,-0.0013280212483399723,-0.009504412763068562,0.0018939393939393923
213,0.02336448598130836,0.024609824244592498,-0.07038512616201857,0.07038512616201857,-0.03733876442634079,-0.05303030303030303
214,0.038681204569054994,0.03801665550803912,-0.08100929614873831,0.08100929614873831,-0.05159538357094365,-0.047348484848484855
215,0.01817237798546208,0.01762468120616138,-0.03718459495351926,0.03718459495351926,-0.02647657841140529,-0.020833333333333332
216,-0.011163032191069547,-0.011787219133974958,-0.033200531208499307,0.033200531208499307,0.0088255261371351,-0.013257575757575765
217,0.02388369678089301,0.026330012176863444,-0.07436918990703849,0.07436918990703849,-0.03869653767820774,-0.04166666666666666
218,0.0005192107995846129,0.0020283110368802073,-0.029216467463479428,0.029216467463479428,-0.008146639511201629,-0.02272727272727273
219,0.009086188992731059,0.010480986904955691,-0.007968127490039834,0.007968127490039834,-0.016972165648336725,-0.024621212121212124
220,0.007528556593977183,0.010034952794345667,-0.07171314741035854,0.07171314741035854,-0.010183299389002037,-0.043560606060606064
221,0.017393561786085126,0.016941103274002667,0.0039840637450198795,-0.0039840637450198795,-0.01900882552613714,-0.02083333333333333
222,0.02232606438213917,0.023207521034093292,-0.019920318725099584,0.019920318725099584,-0.021724372029871014,-0.03598484848484849
223,0.02777777777777779,0.029880861522115738,-0.06108897742363876,0.06108897742363876,-0.02511880515953836,-0.030303030303030307
224,0.012461059190031154,0.0108886687622759,-0.05046480743691898,0.05046480743691898,-0.0264765784114053,-0.01893939393939394
225,-0.0036344755970924014,0.002526359541824711,-0.006640106241699861,0.006640106241699861,-0.0033944331296673486,-0.047348484848484855
226,0.004932502596054007,0.006515453730005653,0.021248339973439556,-0.021248339973439556,0.0013577732518669366,-0.018939393939393936
227,0.023624091381100703,0.023167052328675147,-0.06640106241699868,0.06640106241699868,-0.034623217922606926,-0.043560606060606064
228,0.03816199376947038,0.03656445004642661,-0.11686586985391767,0.11686586985391767,-0.05838424983027834,-0.05113636363636363
